house_id,housing_category,house_type,location,size_sqm,cost_per_sqm_ksh,construction_cost_ksh,financing_cost_ksh,markup_ksh,government_subsidy_ksh,final_price_ksh,interest_rate_pct,repayment_years,monthly_repayment_ksh,buyer_monthly_income_ksh,housing_levy_contribution_ksh,affordability_ratio,affordable
KE-0072,Social,2-Bedroom,Kisumu,54,45176.0,2439500.0,487900.0,275200.0,439100.0,2763500.0,3.0,20,15330.0,16000,240.0,0.958,0
KE-0073,Social,2-Bedroom,Mombasa,52,51058.0,2655000.0,531000.0,299500.0,477900.0,3007600.0,3.0,30,12680.0,10900,160.0,1.163,0
KE-0074,Market-Rate,2-Bedroom,Nakuru,58,62400.0,3619200.0,723800.0,868600.0,0.0,5211600.0,9.0,15,52860.0,403300,6050.0,0.131,1
KE-0075,Affordable,2-Bedroom,Mombasa,54,56462.0,3049000.0,609800.0,523200.0,292700.0,3889300.0,6.0,15,32820.0,24100,360.0,1.362,0
KE-0076,Affordable,2-Bedroom,Ruiru,53,44096.0,2337100.0,467400.0,401000.0,224400.0,2981100.0,6.0,25,19210.0,80900,1210.0,0.237,1
KE-0077,Affordable,2-Bedroom,Kibera,57,39463.0,2249400.0,449900.0,386000.0,215900.0,2869400.0,6.0,25,18490.0,32500,490.0,0.569,0
KE-0078,Social,1-Bedroom,Kasarani,32,46246.0,1479900.0,296000.0,166900.0,266400.0,1676400.0,3.0,25,7950.0,17500,260.0,0.454,0
KE-0079,Affordable,2-Bedroom,Nairobi CBD,53,67626.0,3584200.0,716800.0,615000.0,344100.0,4571900.0,6.0,20,32750.0,30300,450.0,1.081,0
KE-0080,Social,2-Bedroom,Nairobi CBD,56,56666.0,3173300.0,634700.0,358000.0,571200.0,3594800.0,3.0,30,15160.0,11300,170.0,1.342,0
KE-0081,Market-Rate,3-Bedroom,Westlands,80,95291.0,7623300.0,1524700.0,1829600.0,0.0,10977600.0,9.0,25,92120.0,340400,5110.0,0.271,1
KE-0082,Affordable,2-Bedroom,Kisumu,56,50177.0,2809900.0,562000.0,482200.0,269800.0,3584300.0,6.0,20,25680.0,99700,1500.0,0.258,1
KE-0083,Affordable,2-Bedroom,Eastlands,55,43826.0,2410400.0,482100.0,413600.0,231400.0,3074700.0,6.0,25,19810.0,39500,590.0,0.502,0
KE-0084,Social,Studio,Kibera,21,35227.0,739800.0,148000.0,83500.0,133200.0,838100.0,3.0,15,5790.0,17700,270.0,0.327,0
KE-0085,Affordable,1-Bedroom,Eastlands,34,43149.0,1467100.0,293400.0,251800.0,140800.0,1871500.0,6.0,30,11220.0,141000,2120.0,0.08,1
KE-0086,Affordable,Studio,Kasarani,18,49714.0,894800.0,179000.0,153600.0,85900.0,1141500.0,6.0,15,9630.0,112900,1690.0,0.085,1
KE-0087,Affordable,1-Bedroom,Mombasa,35,56719.0,1985200.0,397000.0,340700.0,190600.0,2532300.0,6.0,25,16320.0,135200,2030.0,0.121,1
KE-0088,Affordable,2-Bedroom,Nairobi CBD,52,70505.0,3666200.0,733200.0,629100.0,352000.0,4676500.0,6.0,25,30130.0,93600,1400.0,0.322,0
KE-0089,Market-Rate,3-Bedroom,Kasarani,78,73326.0,5719500.0,1143900.0,1372700.0,0.0,8236100.0,9.0,25,69120.0,319900,4800.0,0.216,1
KE-0090,Affordable,Studio,Mombasa,17,55448.0,942600.0,188500.0,161700.0,90500.0,1202300.0,6.0,15,10150.0,126000,1890.0,0.081,1
KE-0091,Social,1-Bedroom,Nairobi CBD,33,60359.0,1991900.0,398400.0,224700.0,358500.0,2256500.0,3.0,30,9510.0,14100,210.0,0.674,0
KE-0092,Affordable,2-Bedroom,Mombasa,53,54811.0,2905000.0,581000.0,498500.0,278900.0,3705600.0,6.0,20,26550.0,125400,1880.0,0.212,1
KE-0093,Affordable,1-Bedroom,Kisumu,36,52646.0,1895300.0,379100.0,325200.0,182000.0,2417600.0,6.0,25,15580.0,100100,1500.0,0.156,1
KE-0094,Affordable,2-Bedroom,Kibera,55,38629.0,2124600.0,424900.0,364600.0,204000.0,2710100.0,6.0,25,17460.0,137800,2070.0,0.127,1
KE-0095,Affordable,2-Bedroom,Nakuru,55,43883.0,2413600.0,482700.0,414200.0,231700.0,3078800.0,6.0,25,19840.0,51500,770.0,0.385,0
KE-0096,Affordable,2-Bedroom,Kasarani,58,51911.0,3010800.0,602200.0,516700.0,289000.0,3840700.0,6.0,25,24750.0,31200,470.0,0.793,0
KE-0097,Affordable,Studio,Kasarani,18,51401.0,925200.0,185000.0,158800.0,88800.0,1180200.0,6.0,15,9960.0,53000,800.0,0.188,1
KE-0098,Affordable,1-Bedroom,Embakasi,34,48066.0,1634300.0,326900.0,280500.0,156900.0,2084800.0,6.0,15,17590.0,55300,830.0,0.318,0
KE-0099,Social,2-Bedroom,Ruiru,54,41456.0,2238600.0,447700.0,252500.0,402900.0,2535900.0,3.0,15,17510.0,12000,180.0,1.459,0
KE-0100,Social,2-Bedroom,Kisumu,52,46247.0,2404800.0,481000.0,271300.0,432900.0,2724200.0,3.0,20,15110.0,11900,180.0,1.27,0
KE-0101,Social,Studio,Kisumu,17,46869.0,796800.0,159400.0,89900.0,143400.0,902700.0,3.0,25,4280.0,16100,240.0,0.266,1
KE-0102,Affordable,2-Bedroom,Eastlands,56,44066.0,2467700.0,493500.0,423500.0,236900.0,3147800.0,6.0,30,18870.0,129400,1940.0,0.146,1
KE-0103,Affordable,Studio,Mombasa,18,56329.0,1013900.0,202800.0,174000.0,97300.0,1293400.0,6.0,20,9270.0,23300,350.0,0.398,0
KE-0104,Affordable,2-Bedroom,Ruiru,52,47217.0,2455300.0,491100.0,421300.0,235700.0,3132000.0,6.0,20,22440.0,102000,1530.0,0.22,1
KE-0105,Market-Rate,1-Bedroom,Kibera,32,59641.0,1908500.0,381700.0,458000.0,0.0,2748200.0,9.0,15,27870.0,331900,4980.0,0.084,1
KE-0106,Social,3-Bedroom,Kibera,82,33286.0,2729500.0,545900.0,307900.0,491300.0,3092000.0,3.0,20,17150.0,10700,160.0,1.603,0
KE-0107,Affordable,1-Bedroom,Kisumu,33,53348.0,1760500.0,352100.0,302100.0,169000.0,2245700.0,6.0,30,13460.0,83900,1260.0,0.16,1
KE-0108,Affordable,1-Bedroom,Kibera,36,38626.0,1390500.0,278100.0,238600.0,133500.0,1773700.0,6.0,15,14970.0,83300,1250.0,0.18,1
KE-0109,Social,Studio,Embakasi,17,43200.0,734400.0,146900.0,82800.0,132200.0,831900.0,3.0,25,3940.0,19800,300.0,0.199,1
KE-0110,Social,1-Bedroom,Kasarani,36,46036.0,1657300.0,331500.0,186900.0,298300.0,1877400.0,3.0,30,7920.0,10700,160.0,0.74,0
KE-0111,Social,3-Bedroom,Westlands,80,57022.0,4561800.0,912400.0,514600.0,821100.0,5167700.0,3.0,15,35690.0,15900,240.0,2.245,0
KE-0112,Social,3-Bedroom,Nakuru,81,38919.0,3152400.0,630500.0,355600.0,567400.0,3571100.0,3.0,30,15060.0,17900,270.0,0.841,0
KE-0113,Market-Rate,1-Bedroom,Eastlands,34,64455.0,2191500.0,438300.0,526000.0,0.0,3155800.0,9.0,25,26480.0,344500,5170.0,0.077,1
KE-0114,Market-Rate,1-Bedroom,Mombasa,34,83965.0,2854800.0,571000.0,685200.0,0.0,4111000.0,9.0,30,33080.0,357600,5360.0,0.093,1
KE-0115,Affordable,2-Bedroom,Nakuru,56,42119.0,2358600.0,471700.0,404700.0,226400.0,3008600.0,6.0,30,18040.0,31700,480.0,0.569,0
KE-0116,Market-Rate,3-Bedroom,Mombasa,79,82086.0,6484800.0,1297000.0,1556400.0,0.0,9338200.0,9.0,20,84020.0,423000,6340.0,0.199,1
KE-0117,Market-Rate,2-Bedroom,Nairobi CBD,55,103749.0,5706200.0,1141200.0,1369500.0,0.0,8216900.0,9.0,30,66120.0,191200,2870.0,0.346,0
KE-0118,Social,1-Bedroom,Nakuru,33,38746.0,1278600.0,255700.0,144200.0,230100.0,1448400.0,3.0,15,10000.0,13000,200.0,0.769,0
KE-0119,Market-Rate,1-Bedroom,Westlands,34,97728.0,3322800.0,664600.0,797500.0,0.0,4784900.0,9.0,15,48530.0,332200,4980.0,0.146,1
KE-0120,Affordable,2-Bedroom,Kisumu,54,51712.0,2792500.0,558500.0,479200.0,268100.0,3562100.0,6.0,20,25520.0,123800,1860.0,0.206,1
KE-0121,Market-Rate,Studio,Embakasi,21,75229.0,1579800.0,316000.0,379200.0,0.0,2275000.0,9.0,30,18310.0,489600,7340.0,0.037,1
KE-0122,Market-Rate,2-Bedroom,Kasarani,55,73389.0,4036400.0,807300.0,968700.0,0.0,5812400.0,9.0,25,48780.0,347700,5220.0,0.14,1
KE-0123,Affordable,1-Bedroom,Kasarani,38,50853.0,1932400.0,386500.0,331600.0,185500.0,2465000.0,6.0,15,20800.0,133900,2010.0,0.155,1
KE-0124,Social,2-Bedroom,Embakasi,58,43145.0,2502400.0,500500.0,282300.0,450400.0,2834800.0,3.0,30,11950.0,11700,180.0,1.021,0
KE-0125,Social,Studio,Ruiru,23,40360.0,928300.0,185700.0,104700.0,167100.0,1051600.0,3.0,25,4990.0,10700,160.0,0.466,0
KE-0126,Affordable,2-Bedroom,Nairobi CBD,58,67851.0,3935400.0,787100.0,675300.0,377800.0,5020000.0,6.0,15,42360.0,86400,1300.0,0.49,0
KE-0127,Market-Rate,1-Bedroom,Mombasa,33,88728.0,2928000.0,585600.0,702700.0,0.0,4216300.0,9.0,20,37940.0,315600,4730.0,0.12,1
KE-0128,Market-Rate,2-Bedroom,Westlands,56,100384.0,5621500.0,1124300.0,1349200.0,0.0,8095000.0,9.0,25,67930.0,382200,5730.0,0.178,1
KE-0129,Social,Studio,Kibera,21,32022.0,672500.0,134500.0,75900.0,121000.0,761900.0,3.0,25,3610.0,11600,170.0,0.311,0
KE-0130,Affordable,2-Bedroom,Nakuru,57,43833.0,2498500.0,499700.0,428700.0,239900.0,3187000.0,6.0,30,19110.0,132100,1980.0,0.145,1
KE-0131,Affordable,2-Bedroom,Nairobi CBD,55,68343.0,3758800.0,751800.0,645000.0,360800.0,4794800.0,6.0,20,34350.0,51900,780.0,0.662,0
KE-0132,Social,2-Bedroom,Nakuru,58,38834.0,2252400.0,450500.0,254100.0,405400.0,2551600.0,3.0,15,17620.0,17100,260.0,1.03,0
KE-0133,Social,2-Bedroom,Westlands,53,58701.0,3111200.0,622200.0,350900.0,560000.0,3524300.0,3.0,20,19550.0,12700,190.0,1.539,0
KE-0134,Affordable,2-Bedroom,Eastlands,55,44337.0,2438500.0,487700.0,418400.0,234100.0,3110500.0,6.0,25,20040.0,94800,1420.0,0.211,1
KE-0135,Market-Rate,2-Bedroom,Eastlands,58,64968.0,3768100.0,753600.0,904300.0,0.0,5426000.0,9.0,15,55030.0,350400,5260.0,0.157,1
KE-0136,Affordable,1-Bedroom,Nairobi CBD,33,66098.0,2181200.0,436200.0,374300.0,209400.0,2782300.0,6.0,15,23480.0,83600,1250.0,0.281,1
KE-0137,Affordable,2-Bedroom,Kisumu,55,54243.0,2983400.0,596700.0,512000.0,286400.0,3805700.0,6.0,15,32110.0,98800,1480.0,0.325,0
KE-0138,Affordable,1-Bedroom,Westlands,36,62786.0,2260300.0,452100.0,387900.0,217000.0,2883300.0,6.0,20,20660.0,38100,570.0,0.542,0
KE-0139,Affordable,Studio,Westlands,21,66068.0,1387400.0,277500.0,238100.0,133200.0,1769800.0,6.0,30,10610.0,116400,1750.0,0.091,1
KE-0140,Market-Rate,Studio,Embakasi,17,69839.0,1187300.0,237500.0,285000.0,0.0,1709800.0,9.0,25,14350.0,309900,4650.0,0.046,1
KE-0141,Market-Rate,1-Bedroom,Kisumu,34,76234.0,2592000.0,518400.0,622100.0,0.0,3732500.0,9.0,15,37860.0,434900,6520.0,0.087,1
KE-0142,Social,2-Bedroom,Mombasa,58,49074.0,2846300.0,569300.0,321100.0,512300.0,3224400.0,3.0,15,22270.0,18900,280.0,1.178,0
KE-0143,Affordable,2-Bedroom,Mombasa,57,57979.0,3304800.0,661000.0,567100.0,317300.0,4215600.0,6.0,30,25270.0,48100,720.0,0.525,0
KE-0144,Affordable,2-Bedroom,Kibera,55,37967.0,2088200.0,417600.0,358300.0,200500.0,2663600.0,6.0,20,19080.0,33200,500.0,0.575,0
KE-0145,Social,2-Bedroom,Kasarani,57,41979.0,2392800.0,478600.0,269900.0,430700.0,2710600.0,3.0,25,12850.0,10200,150.0,1.26,0
KE-0146,Social,1-Bedroom,Eastlands,32,37051.0,1185600.0,237100.0,133700.0,213400.0,1343000.0,3.0,15,9270.0,19400,290.0,0.478,0
KE-0147,Affordable,Studio,Mombasa,19,56070.0,1065300.0,213100.0,182800.0,102300.0,1358900.0,6.0,30,8150.0,112300,1680.0,0.073,1
KE-0148,Affordable,1-Bedroom,Kisumu,35,50319.0,1761200.0,352200.0,302200.0,169100.0,2246500.0,6.0,20,16090.0,43700,660.0,0.368,0
KE-0149,Social,1-Bedroom,Westlands,33,57652.0,1902500.0,380500.0,214600.0,342400.0,2155200.0,3.0,25,10220.0,11900,180.0,0.859,0
KE-0150,Social,Studio,Mombasa,23,49218.0,1132000.0,226400.0,127700.0,203800.0,1282300.0,3.0,20,7110.0,18500,280.0,0.384,0
KE-0151,Market-Rate,1-Bedroom,Westlands,34,98935.0,3363800.0,672800.0,807300.0,0.0,4843900.0,9.0,30,38980.0,342500,5140.0,0.114,1
KE-0152,Social,2-Bedroom,Mombasa,56,52154.0,2920700.0,584100.0,329500.0,525700.0,3308600.0,3.0,30,13950.0,17500,260.0,0.797,0
KE-0153,Social,2-Bedroom,Eastlands,52,37844.0,1967900.0,393600.0,222000.0,354200.0,2229300.0,3.0,25,10570.0,16300,240.0,0.648,0
KE-0154,Affordable,3-Bedroom,Nakuru,79,42508.0,3358100.0,671600.0,576200.0,322400.0,4283500.0,6.0,30,25680.0,115500,1730.0,0.222,1
KE-0155,Market-Rate,3-Bedroom,Mombasa,83,87939.0,7298900.0,1459800.0,1751700.0,0.0,10510400.0,9.0,15,106600.0,376300,5640.0,0.283,1
KE-0156,Social,2-Bedroom,Kisumu,54,45493.0,2456600.0,491300.0,277100.0,442200.0,2782800.0,3.0,25,13200.0,11500,170.0,1.148,0
KE-0157,Affordable,1-Bedroom,Mombasa,38,56516.0,2147600.0,429500.0,368500.0,206200.0,2739400.0,6.0,20,19630.0,46000,690.0,0.427,0
KE-0158,Affordable,2-Bedroom,Kasarani,56,48278.0,2703600.0,540700.0,463900.0,259500.0,3448700.0,6.0,30,20680.0,99900,1500.0,0.207,1
KE-0159,Social,2-Bedroom,Eastlands,55,36077.0,1984200.0,396800.0,223800.0,357200.0,2247600.0,3.0,30,9480.0,12900,190.0,0.735,0
KE-0160,Affordable,Studio,Kisumu,18,53016.0,954300.0,190900.0,163800.0,91600.0,1217400.0,6.0,30,7300.0,75800,1140.0,0.096,1
KE-0161,Affordable,1-Bedroom,Embakasi,36,50107.0,1803900.0,360800.0,309600.0,173200.0,2301100.0,6.0,30,13800.0,124800,1870.0,0.111,1
KE-0162,Affordable,2-Bedroom,Kisumu,53,51208.0,2714000.0,542800.0,465700.0,260500.0,3462000.0,6.0,15,29210.0,143800,2160.0,0.203,1
KE-0163,Affordable,1-Bedroom,Kasarani,35,49090.0,1718100.0,343600.0,294800.0,164900.0,2191600.0,6.0,30,13140.0,102100,1530.0,0.129,1
KE-0164,Affordable,2-Bedroom,Nakuru,54,42219.0,2279800.0,456000.0,391200.0,218900.0,2908100.0,6.0,20,20830.0,127900,1920.0,0.163,1
KE-0165,Social,2-Bedroom,Eastlands,53,36771.0,1948800.0,389800.0,219800.0,350800.0,2207600.0,3.0,20,12240.0,17700,270.0,0.692,0
KE-0166,Market-Rate,Studio,Embakasi,17,69764.0,1186000.0,237200.0,284600.0,0.0,1707800.0,9.0,20,15370.0,243100,3650.0,0.063,1
